country,iso3,geo,is_eu27,year,sex,age_group,unemployment_rate
Croatia,HRV,HR,True,2015,Total,Overall (15-74),16.2
Croatia,HRV,HR,True,2016,Female,Youth (15-24),31.0
Croatia,HRV,HR,True,2016,Male,Youth (15-24),30.9
Croatia,HRV,HR,True,2016,Total,Youth (15-24),30.9
Croatia,HRV,HR,True,2016,Female,Overall (15-74),13.7
Croatia,HRV,HR,True,2016,Male,Overall (15-74),12.4
Croatia,HRV,HR,True,2016,Total,Overall (15-74),13.0
Croatia,HRV,HR,True,2017,Female,Youth (15-24),27.2
Croatia,HRV,HR,True,2017,Male,Youth (15-24),27.5
Croatia,HRV,HR,True,2017,Total,Youth (15-24),27.4
Croatia,HRV,HR,True,2017,Female,Overall (15-74),11.8
Croatia,HRV,HR,True,2017,Male,Overall (15-74),10.5
Croatia,HRV,HR,True,2017,Total,Overall (15-74),11.1
Croatia,HRV,HR,True,2018,Female,Youth (15-24),29.1
Croatia,HRV,HR,True,2018,Male,Youth (15-24),19.3
Croatia,HRV,HR,True,2018,Total,Youth (15-24),23.5
Croatia,HRV,HR,True,2018,Female,Overall (15-74),9.3
Croatia,HRV,HR,True,2018,Male,Overall (15-74),7.5
Croatia,HRV,HR,True,2018,Total,Overall (15-74),8.3
Croatia,HRV,HR,True,2019,Female,Youth (15-24),18.8
Croatia,HRV,HR,True,2019,Male,Youth (15-24),15.3
Croatia,HRV,HR,True,2019,Total,Youth (15-24),16.7
Croatia,HRV,HR,True,2019,Female,Overall (15-74),7.1
Croatia,HRV,HR,True,2019,Male,Overall (15-74),6.1
Croatia,HRV,HR,True,2019,Total,Overall (15-74),6.6
Croatia,HRV,HR,True,2020,Female,Youth (15-24),23.9
Croatia,HRV,HR,True,2020,Male,Youth (15-24),18.6
Croatia,HRV,HR,True,2020,Total,Youth (15-24),20.6
Croatia,HRV,HR,True,2020,Female,Overall (15-74),7.5
Croatia,HRV,HR,True,2020,Male,Overall (15-74),7.3
Croatia,HRV,HR,True,2020,Total,Overall (15-74),7.4
Croatia,HRV,HR,True,2021,Female,Youth (15-24),26.3
Croatia,HRV,HR,True,2021,Male,Youth (15-24),18.3
Croatia,HRV,HR,True,2021,Total,Youth (15-24),21.5
Croatia,HRV,HR,True,2021,Female,Overall (15-74),8.0
Croatia,HRV,HR,True,2021,Male,Overall (15-74),7.1
Croatia,HRV,HR,True,2021,Total,Overall (15-74),7.5
Croatia,HRV,HR,True,2022,Female,Youth (15-24),22.1
Croatia,HRV,HR,True,2022,Male,Youth (15-24),14.7
Croatia,HRV,HR,True,2022,Total,Youth (15-24),17.7
Croatia,HRV,HR,True,2022,Female,Overall (15-74),7.9
Croatia,HRV,HR,True,2022,Male,Overall (15-74),5.9
Croatia,HRV,HR,True,2022,Total,Overall (15-74),6.8
Croatia,HRV,HR,True,2023,Female,Youth (15-24),21.9
